json_stats: {"RAM": "13.07/251.57G", "_type": "train_epoch", "dt": 0.13183, "dt_data": 0.13183, "dt_net": 0.78650, "epoch": "15/200", "eta": "0:00:24", "gpu_mem": "8.07G", "grad_norm": 19.03271, "loss": 2.03489, "lr": 0.00005, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "13.06/251.57G", "_type": "train_epoch", "dt": 0.12914, "dt_data": 0.12914, "dt_net": 0.72325, "epoch": "16/200", "eta": "0:00:23", "gpu_mem": "8.07G", "grad_norm": 12.51466, "loss": 1.88506, "lr": 0.00005, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "13.06/251.57G", "_type": "train_epoch", "dt": 0.13347, "dt_data": 0.13347, "dt_net": 0.80505, "epoch": "17/200", "eta": "0:00:24", "gpu_mem": "8.07G", "grad_norm": 11.06767, "loss": 1.60315, "lr": 0.00005, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "13.06/251.57G", "_type": "train_epoch", "dt": 0.13346, "dt_data": 0.13346, "dt_net": 0.80154, "epoch": "18/200", "eta": "0:00:24", "gpu_mem": "8.07G", "grad_norm": 8.50361, "loss": 1.40014, "lr": 0.00006, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "13.06/251.57G", "_type": "train_epoch", "dt": 0.13179, "dt_data": 0.13179, "dt_net": 0.81239, "epoch": "19/200", "eta": "0:00:23", "gpu_mem": "8.07G", "grad_norm": 11.82717, "loss": 1.57346, "lr": 0.00006, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "13.05/251.57G", "_type": "train_epoch", "dt": 0.13296, "dt_data": 0.13296, "dt_net": 0.80842, "epoch": "20/200", "eta": "0:00:23", "gpu_mem": "8.07G", "grad_norm": 9.07133, "loss": 1.39285, "lr": 0.00006, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "8.19/251.57G", "_type": "train_epoch", "dt": 0.13545, "dt_data": 0.13545, "dt_net": 1.23035, "epoch": "21/200", "eta": "0:00:24", "gpu_mem": "7.83G", "grad_norm": 5.28697, "loss": 1.26207, "lr": 0.00007, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "8.20/251.57G", "_type": "train_epoch", "dt": 0.13145, "dt_data": 0.13145, "dt_net": 0.82093, "epoch": "22/200", "eta": "0:00:23", "gpu_mem": "8.07G", "grad_norm": 4.03932, "loss": 1.05583, "lr": 0.00007, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "8.27/251.57G", "_type": "train_epoch", "dt": 0.13347, "dt_data": 0.13347, "dt_net": 0.83491, "epoch": "23/200", "eta": "0:00:23", "gpu_mem": "8.07G", "grad_norm": 6.35927, "loss": 1.16762, "lr": 0.00007, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "8.29/251.57G", "_type": "train_epoch", "dt": 0.13375, "dt_data": 0.13375, "dt_net": 0.81690, "epoch": "24/200", "eta": "0:00:23", "gpu_mem": "8.07G", "grad_norm": 3.30900, "loss": 1.17064, "lr": 0.00008, "top1_err": 0.00000, "top5_err": 0.00000}
